,Unnamed: 0,raion,lat,long,
111,4.0,Juzhnoportovoe,55.703916,37.702706,
112,5.0,Savelovskoe,55.802750,37.587191,
113,6.0,Losinoostrovskoe,55.826706,37.72095,
114,0.0,Tekstil'shhiki,55.708917,37.734371,
115,1.0,Nizhegorodskoe,55.729628,37.723192,
116,2.0,Sokol'niki,55.789198,37.6797,
117,3.0,Mar'ino,55.549093,37.322844,
119,5.0,Otradnoe,55.863207,37.604762,
120,6.0,Bogorodskoe,55.804182,37.684164,
121,7.0,Ljublino,55.675682,37.76177,
122,8.0,Danilovskoe,55.709217,37.640596,
123,9.0,Donskoe,55.697529,37.617411,
124,10.0,Sokol,55.804805,37.515461,
125,11.0,Kurkino,55.891239,37.389661,
126,12.0,Izmajlovo,55.788409,37.743031,
129,15.0,Rjazanskij,55.719409,37.780904,
130,16.0,Ajeroport,55.803089,37.542484,
131,17.0,Akademicheskoe,55.687761,37.573447,
132,18.0,Shhukino,55.800590,37.473519,
133,19.0,Nekrasovka,55.683630,37.925398,
134,20.0,Cheremushki,55.664649,37.561347,
136,22.0,Krasnosel'skoe,55.784155,37.664264,
138,24.0,Tverskoe,55.763923,37.606379,
139,25.0,Butyrskoe,55.813668,37.588772,
140,26.0,Matushkino,56.005103,37.200116,
141,27.0,Lomonosovskoe,55.697290,37.529268,
144,30.0,Gagarinskoe,55.744703,37.594522,
145,31.0,Meshhanskoe,55.776026,37.627616,
146,32.0,Severnoe,55.933267,37.551762,
147,33.0,Begovoe,55.780304,37.558679,
148,34.0,Arbat,55.749496,37.59153,
149,35.0,Poselenie Sosenskoe,55.578330,37.465892,
150,36.0,Vostochnoe,55.787710,37.775631,
151,,Presnenskoe,55.764006,37.562874,
152,,Solncevo,55.645918,37.40168,
